gxyName,alenRank,math_initial_theta,pitch_angle,math_initial_radius,relative_theta_start,relative_theta_end,r_start,r_end,used2rev,failed2rev,hasUndefinedEndpoints,arc_length,num_pixels,err_per_len,err_per_pixel,mean_intensity,brt_ratio_score,anovaF_score,clusOutputColor
subject-20902081,1,6.992754,15.215932,66.696032,0.000000,4.666319,18.745267,66.696032,0,0,0,182.699157,2687.000000,524.789362,35.682387,0.506948,1.079946,164.160225,[0.2 1 0]
subject-20902081,2,4.959789,21.290976,61.034565,0.000000,3.460765,15.843709,61.034565,0,0,0,124.456893,1561.000000,164.065768,13.080792,0.535684,1.099821,157.622647,[0 1 0.4]
subject-20902081,3,10.900855,7.774290,98.441201,0.000000,0.987097,86.029927,98.441201,0,0,0,91.751195,780.000000,66.217211,7.789113,0.294486,1.073817,195.385793,[0 1 1]
subject-20902081,4,10.186371,14.744211,73.898538,0.000000,0.782354,60.147560,73.898538,0,0,0,54.030450,693.000000,118.921049,9.271801,0.410037,1.141783,290.603416,[1 0.6 0]
subject-20902081,5,7.179220,13.484536,134.228397,0.000000,0.294002,125.091191,134.228397,0,0,0,39.184712,579.000000,118.470400,8.017666,0.253093,1.206581,915.624692,[0.2 0 1]
subject-20902081,6,6.226085,20.635649,74.454393,0.000000,0.492670,61.846437,74.454393,0,0,0,35.774965,254.000000,18.757896,2.641981,0.367170,1.004637,0.485424,[0 0.4 1]
subject-20902081,7,10.077175,43.066080,146.541807,0.000000,0.185844,123.175159,146.541807,0,0,0,34.219730,260.000000,29.127028,3.833535,0.224838,1.011024,1.077487,[1 0 0]
subject-20902081,8,9.926101,0.166539,49.350020,0.000000,0.693280,49.250674,49.350020,0,0,0,34.179091,368.000000,66.847830,6.208690,0.479027,1.062849,85.393030,[0.8 1 0]
subject-20902081,9,6.119373,33.742370,96.227153,0.000000,0.292133,79.167875,96.227153,0,0,0,30.712009,320.000000,67.316286,6.460682,0.298009,1.118000,85.421834,[0.8 0 1]
subject-20902081,10,6.995018,-55.639285,153.842393,0.000000,0.087377,153.842393,174.814965,0,0,0,25.405881,152.000000,38.915159,6.504434,0.200353,1.063441,9.144205,[1 0 0.6]
